msa,msa_code,state,short_name,weather_station
"Abilene, TX Metro Area",100,TX,Abilene,"ABILENE REGIONAL AIRPORT, TX US"
"Akron, OH Metro Area",101,OH,Akron,"AKRON FULTON INTERNATIONAL AIRPORT, OH US"
"Albany, GA Metro Area",102,GA,"Albany, GA","ALBANY SW GEORGIA REGIONAL AIRPORT, GA US"
"Albany, OR Metro Area",103,OR,"Albany, OR",
"Albany-Schenectady-Troy, NY Metro Area",104,NY,"Albany, NY","ALBANY INTERNATIONAL AIRPORT, NY US"
"Albuquerque, NM Metro Area",105,NM,Albuquerque,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US"
"Alexandria, LA Metro Area",106,ME,"Alexandria, LA","ALEXANDRIA INTERNATIONAL AIRPORT, LA US"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",107,Multiple,Allentown,"ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US"
"Altoona, PA Metro Area",108,PA,Altoona,"ALTOONA 7 SW, PA US"
"Amarillo, TX Metro Area",109,TX,Amarillo,"AMARILLO AIRPORT, TX US"
"Ames, IA Metro Area",110,IA,Ames,"AMES MUNICIPAL AIRPORT, IA US"
"Amherst Town-Northampton, MA Metro Area",111,MA,Amherst,"AMHERST, MA US"
"Anchorage, AK Metro Area",112,AK,Anchorage,"ANCHORAGE FORECAST OFFICE, AK US"
"Ann Arbor, MI Metro Area",113,MI,Ann Arbor,"ANN ARBOR U OF MICH, MI US"
"Anniston-Oxford, AL Metro Area",114,AL,Anniston,"ANNISTON METROPOLITAN AIRPORT, AL US"
"Appleton, WI Metro Area",115,WI,Appleton,"APPLETON, WI US"
"Asheville, NC Metro Area",116,NC,Asheville,"ASHEVILLE, NC US"
"Athens-Clarke County, GA Metro Area",117,GA,Athens,"ATHENS BEN EPPS AIRPORT, GA US"
"Atlanta-Sandy Springs-Roswell, GA Metro Area",118,GA,Atlanta,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US"
"Atlantic City-Hammonton, NJ Metro Area",119,NJ,Atlantic City,"ATLANTIC CITY MARINA, NJ US"
"Auburn-Opelika, AL Metro Area",120,AL,Auburn,"AUBURN OPELIKA AIRPORT, AL US"
"Augusta-Richmond County, GA-SC Metro Area",121,Multiple,Augusta,"AUGUSTA BUSH FIELD AIRPORT, GA US"
"Austin-Round Rock-San Marcos, TX Metro Area",122,TX,Austin,"AUSTIN CAMP MABRY, TX US"
"Bakersfield-Delano, CA Metro Area",123,CA,Bakersfield,"BAKERSFIELD AIRPORT, CA US"
"Baltimore-Columbia-Towson, MD Metro Area",124,MD,Baltimore,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US"
"Bangor, ME Metro Area",125,ME,Bangor,"BANGOR INTERNATIONAL AIRPORT, ME US"
"Barnstable Town, MA Metro Area",126,MA,Barnstable,"HYANNIS BARNSTABLE MUNICIPAL AIRPORT, MA US"
"Baton Rouge, LA Metro Area",127,LA,Baton Rouge,"BATON ROUGE METRO AIRPORT, LA US"
"Battle Creek, MI Metro Area",128,MI,Battle Creek,"BATTLE CREEK KELLOGG AIRPORT, MI US"
