NAME,total_population,median_age,pct_male,pct_female,cbsa_code,year,median_household_income,pct_bachelors_plus,pct_graduate_degree,pct_less_than_hs,pct_white,pct_black,pct_hispanic,pct_asian
"Abilene, TX Metro Area",166202,34.3,50.6,49.4,10180,2013,44446,6.4,13.8,6.4,67.5,7.0,21.7,1.4
"Abilene, TX Metro Area",167171,34.1,50.6,49.4,10180,2014,44249,6.3,13.7,6.2,66.7,7.6,22.1,1.4
"Abilene, TX Metro Area",167945,33.8,50.6,49.4,10180,2015,44799,6.6,15.0,5.8,66.1,7.7,22.5,1.5
"Abilene, TX Metro Area",168774,33.9,50.7,49.3,10180,2016,46473,6.7,14.9,5.6,65.8,7.7,22.6,1.6
"Abilene, TX Metro Area",169000,33.9,50.6,49.4,10180,2017,48156,7.1,14.7,5.4,78.0,8.0,23.0,1.6
"Abilene, TX Metro Area",170009,33.9,50.6,49.4,10180,2018,49945,7.3,15.0,4.8,76.7,8.0,23.3,1.9
"Abilene, TX Metro Area",170669,34.1,50.5,49.5,10180,2019,52511,7.6,15.3,4.3,77.4,8.2,23.6,1.8
"Abilene, TX Metro Area",171354,34.1,50.4,49.6,10180,2020,54857,8.1,16.1,4.2,75.9,8.0,23.9,2.0
"Abilene, TX Metro Area",175241,34.2,50.6,49.4,10180,2021,57356,8.3,16.4,3.9,74.7,7.8,24.4,1.9
"Abilene, TX Metro Area",176656,34.3,50.7,49.3,10180,2022,61924,8.8,17.0,3.9,72.7,7.8,24.7,2.0
"Abilene, TX Metro Area",178244,34.4,50.9,49.1,10180,2023,66464,9.5,17.2,3.7,62.8,7.5,24.0,1.9
"Aguadilla-Isabela, PR Metro Area",335269,38.5,48.8,51.2,10380,2013,15152,6.7,10.6,27.8,1.4,0.1,97.6,0.1
"Aguadilla-Isabela, PR Metro Area",331146,39.1,48.9,51.1,10380,2014,15681,7.2,11.0,26.3,1.3,0.1,97.6,0.1
"Aguadilla-Isabela, PR Metro Area",325921,39.8,48.9,51.1,10380,2015,15616,8.3,15.2,24.0,1.3,0.1,97.6,0.1
"Aguadilla-Isabela, PR Metro Area",320810,40.3,48.8,51.2,10380,2016,15564,8.4,14.7,23.4,1.4,0.1,97.5,0.1
"Aguadilla-Isabela, PR Metro Area",315100,40.9,48.7,51.3,10380,2017,15769,8.5,15.0,22.6,69.9,3.0,97.5,0.3
"Aguadilla-Isabela, PR Metro Area",307555,42.0,48.7,51.3,10380,2018,16369,9.1,15.2,21.4,73.6,3.0,97.2,0.2
"Aguadilla-Isabela, PR Metro Area",301107,42.6,48.6,51.4,10380,2019,16470,9.3,15.4,20.9,74.2,2.7,96.8,0.1
"Aguadilla-Isabela, PR Metro Area",295172,43.5,48.6,51.4,10380,2020,16744,9.8,15.8,20.7,69.6,3.2,96.9,0.1
"Aguadilla-Isabela, PR Metro Area",311049,44.2,48.5,51.5,10380,2021,17785,10.5,16.8,19.7,65.7,3.2,97.2,0.1
"Aguadilla-Isabela, PR Metro Area",308919,44.8,48.5,51.5,10380,2022,19455,10.9,17.1,19.3,63.5,3.4,97.3,0.1
"Aguadilla, PR Metro Area",252430,45.2,48.5,51.5,10380,2023,20800,11.0,18.2,17.6,1.6,0.1,97.6,0.0
"Akron, OH Metro Area",704979,39.7,48.4,51.6,10420,2013,50392,6.5,18.9,2.5,82.0,11.8,1.6,2.1
