DATE,LATITUDE,LONGITUDE,NAME,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,HTDD,PRCP,TAVG,TMAX,TMIN,TSUN,msa,msa_code
2012,32.13133,-81.2023,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",1455.6,0.0,17.0,0.0,284.0,67.0,-6.1,37.8,726.3,1022.2,20.19,26.13,14.26,,"Savannah, GA Metro Area",418
2013,32.13133,-81.2023,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",1352.8,0.0,15.0,0.0,275.0,56.0,-3.3,36.1,924.1,1374.2,19.61,25.29,13.93,,"Savannah, GA Metro Area",418
2014,32.13133,-81.2023,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",1490.7,0.0,19.0,1.0,269.0,97.0,-7.1,37.8,951.6,1284.8,19.7,25.59,13.81,,"Savannah, GA Metro Area",418
2015,32.13133,-81.2023,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",1548.0,0.0,15.0,0.0,282.0,79.0,-6.6,37.2,961.3,1210.3,20.38,25.87,14.88,,"Savannah, GA Metro Area",418
2016,32.13133,-81.2023,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",1649.5,0.0,16.0,0.0,287.0,105.0,-3.8,37.8,695.3,1408.8,20.6,26.57,14.63,,"Savannah, GA Metro Area",418
2017,32.13133,-81.2023,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",1630.2,0.0,10.0,0.0,296.0,96.0,-3.2,36.7,584.0,1352.3,20.96,26.88,15.03,,"Savannah, GA Metro Area",418
2018,32.13133,-81.2023,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",1639.1,0.0,24.0,1.0,266.0,111.0,-7.1,36.7,909.5,1093.4,20.33,26.05,14.61,,"Savannah, GA Metro Area",418
2019,32.13133,-81.2023,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",1731.8,0.0,7.0,0.0,279.0,114.0,-1.6,38.9,779.4,1305.0,21.02,26.86,15.17,,"Savannah, GA Metro Area",418
2020,32.13133,-81.2023,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",1744.6,0.0,12.0,0.0,298.0,99.0,-3.2,37.2,674.2,1278.6,21.31,26.81,15.81,,"Savannah, GA Metro Area",418
2021,32.13133,-81.2023,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",1350.1,0.0,10.0,0.0,278.0,56.0,-1.6,35.6,802.2,1246.5,19.74,25.41,14.06,,"Savannah, GA Metro Area",418
2022,32.13133,-81.2023,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",1422.5,0.0,22.0,0.0,278.0,78.0,-7.1,38.9,817.2,937.2,19.83,25.7,13.96,,"Savannah, GA Metro Area",418
2023,32.13133,-81.2023,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",1482.9,0.0,9.0,0.0,282.0,79.0,-2.7,37.2,688.6,1066.7,20.58,26.3,14.86,,"Savannah, GA Metro Area",418
2012,33.71417,-96.67361,"GRAYSON CO AIRPORT SHERMAN DENISON, TX US",,0.0,35.0,2.0,253.0,98.0,-7.1,41.1,,563.1,19.15,24.98,13.33,,"Sherman-Denison, TX Metro Area",424
2013,33.71417,-96.67361,"GRAYSON CO AIRPORT SHERMAN DENISON, TX US",1429.0,0.0,48.0,0.0,223.0,100.0,-7.7,41.7,1479.4,709.9,17.75,23.66,11.85,,"Sherman-Denison, TX Metro Area",424
2014,33.71417,-96.67361,"GRAYSON CO AIRPORT SHERMAN DENISON, TX US",1326.7,0.0,49.0,3.0,225.0,83.0,-11.6,38.9,1664.0,609.0,17.54,23.33,11.75,,"Sherman-Denison, TX Metro Area",424
2015,33.71417,-96.67361,"GRAYSON CO AIRPORT SHERMAN DENISON, TX US",1504.7,0.0,40.0,3.0,235.0,106.0,-9.3,40.0,1469.1,1481.5,18.76,24.26,13.26,,"Sherman-Denison, TX Metro Area",424
2016,33.71417,-96.67361,"GRAYSON CO AIRPORT SHERMAN DENISON, TX US",1417.0,0.0,29.0,1.0,232.0,94.0,-10.5,40.0,1197.5,811.5,18.85,24.48,13.22,,"Sherman-Denison, TX Metro Area",424
2017,33.71417,-96.67361,"GRAYSON CO AIRPORT SHERMAN DENISON, TX US",,,,0.0,262.0,69.0,,37.8,993.8,950.5,,24.56,,,"Sherman-Denison, TX Metro Area",424
2018,33.71417,-96.67361,"GRAYSON CO AIRPORT SHERMAN DENISON, TX US",1477.8,0.0,51.0,3.0,212.0,96.0,-13.2,42.8,,927.9,17.83,23.57,12.09,,"Sherman-Denison, TX Metro Area",424
2019,33.71417,-96.67361,"GRAYSON CO AIRPORT SHERMAN DENISON, TX US",,,,,,,,,1599.6,363.2,,,,,"Sherman-Denison, TX Metro Area",424
