year,StateAbbr,County name,CountyFIPS,BPHIGH,CASTHMA,COPD,MHLTH,PHLTH,SLEEP,STROKE,STATION,NAME_x,LATITUDE,LONGITUDE,ELEVATION,CLDD,DT100,DT32,DX32,DX70,DX90,EMNT,EMXT,HTDD,PRCP,TAVG,TMAX,TMIN,COUNTY,ST,Matched County_x,CountyFIPS_x,Matched County_y,CountyFIPS_y,Matched County,NAME_y,total_population,pct_female,pct_male,median_age,pct_bachelors_plus,pct_graduate_degree,pct_less_than_hs,pct_white,pct_black,pct_asian,pct_hispanic,median_household_income,state,county_x,climate_type_short
2013,AK,ANCHORAGE MUNICIPALITY                            ,02020,28.691666666666663,,,,,,,USW00026409,"ANCHORAGE MERRILL FIELD, AK US",61.2163,-149.85724,38.4,40.9,,184.0,106.0,48.0,0.0,-26.0,30.6,5812.2,509.2,3.6,7.5,-0.4,ANCHORAGE BOROUGH,AK,,,,,ANCHORAGE MUNICIPALITY                            ,"Anchorage Municipality, Alaska",295237,49.1,50.9,32.8,11.7,92.5,23.2,0.1,7.9,7.8,92.0,77454,2,20,ET
2013,AL,JEFFERSON COUNTY                                  ,01073,41.89375,,,,,,,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56545,-86.7449,187.7,1070.4,,55.0,0.0,218.0,28.0,-7.7,35.0,1502.9,1724.8,16.9,22.3,11.5,JEFFERSON,AL,,,,,JEFFERSON,"Jefferson County, Alabama",658552,52.7,47.3,37.2,11.6,87.4,26.6,0.1,0.8,0.8,96.2,45429,1,73,Cfa
2013,AL,MADISON COUNTY                                    ,01089,37.65434782608696,,,,,,,USW00003856,"HUNTSVILLE INTNL AIRPORT, AL US",34.64406,-86.78615,190.0,994.8,,60.0,0.0,209.0,41.0,-8.2,36.1,1716.1,1480.7,16.1,21.8,10.4,MADISON,AL,,,,,MADISON,"Madison County, Alabama",339279,51.0,49.0,37.4,14.5,90.0,21.4,0.1,2.3,2.2,95.4,58434,1,89,Cfa
2013,AL,MOBILE COUNTY                                     ,01097,44.833333333333336,,,,,,,USW00013894,"MOBILE REGIONAL AIRPORT, AL US",30.68819,-88.24598,65.5,1371.5,,16.0,0.0,268.0,78.0,-3.8,35.0,898.3,1760.4,19.5,25.2,13.8,MOBILE,AL,,,,,MOBILE,"Mobile County, Alabama",413188,52.0,48.0,36.7,7.0,83.9,33.0,0.0,1.4,1.4,97.5,43028,1,97,Cfa
2013,AL,MONTGOMERY COUNTY                                 ,01101,39.79272727272727,,,,,,,USW00013895,"MONTGOMERY AIRPORT, AL US",32.2997,-86.40745,66.2,1315.4,,34.0,0.0,254.0,87.0,-5.5,35.6,1106.4,1428.6,18.8,25.0,12.5,MONTGOMERY,AL,,,,,MONTGOMERY,"Montgomery County, Alabama",228980,52.4,47.6,34.8,12.0,85.6,26.2,0.1,1.3,1.1,96.5,44790,1,101,Cfa
2013,AL,SHELBY COUNTY                                     ,01117,31.716666666666665,,,,,,,USW00053864,"ALABASTER SHELBY CO AIRPORT ASOS, AL US",33.17835,-86.78178,172.5,1089.9,,35.0,0.0,224.0,37.0,-5.5,33.9,1382.4,1664.1,17.4,22.7,12.1,SHELBY,AL,,,,,SHELBY,"Shelby County, Alabama",198366,51.2,48.8,37.3,12.9,91.2,21.4,0.2,0.9,0.9,94.1,68770,1,117,Cfa
2013,AL,TUSCALOOSA COUNTY                                 ,01125,31.112903225806452,,,,,,,USW00093806,"TUSCALOOSA AIRPORT ASOS, AL US",33.21217,-87.61552,45.3,1214.4,,48.0,0.0,235.0,69.0,-5.5,35.6,1372.5,1302.5,17.7,23.5,11.9,TUSCALOOSA,AL,,,,,TUSCALOOSA,"Tuscaloosa County, Alabama",196824,51.6,48.4,31.4,10.9,86.6,31.0,0.3,0.8,0.8,96.9,45408,1,125,Cfa
2013,AR,BENTON COUNTY                                     ,05007,24.65,,,,,,,USW00053922,"FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT, AR US",36.28975,-94.31152,389.6,776.9,,107.0,9.0,174.0,47.0,-15.5,37.2,2335.9,1320.8,13.5,19.5,7.5,BENTON,AR,,,,,BENTON,"Benton County, Arkansas",227439,50.6,49.4,34.7,9.1,85.8,31.1,0.2,2.2,2.2,84.3,54515,5,7,Cfa
2013,AR,CRAIGHEAD COUNTY                                  ,05031,32.61818181818182,,,,,,,USW00003953,"JONESBORO MUNICIPAL AIRPORT, AR US",35.83567,-90.64424,78.9,1107.2,,73.0,10.0,191.0,64.0,-8.8,38.3,1993.4,1332.0,15.4,20.9,9.9,CRAIGHEAD,AR,,,,,CRAIGHEAD,"Craighead County, Arkansas",98398,51.2,48.8,33.1,8.6,84.9,33.6,0.0,1.1,1.1,95.5,41393,5,31,Cfa
2013,AR,PULASKI COUNTY                                    ,05119,38.5,,,,,,,USW00003952,"NORTH LITTLE ROCK WEATHER FORECAST OFFICE, AR US",34.8353,-92.2596,171.6,1154.3,,57.0,4.0,200.0,71.0,-7.7,37.2,1722.6,1303.7,16.3,21.4,11.3,PULASKI,AR,,,,,PULASKI,"Pulaski County, Arkansas",386106,52.0,48.0,36.0,11.4,89.2,27.6,0.2,1.7,1.7,94.2,46013,5,119,Cfa
2013,AR,SEBASTIAN COUNTY                                  ,05131,38.62777777777778,,,,,,,USW00013964,"FORT SMITH REGIONAL AIRPORT, AR US",35.33346,-94.36526,136.7,1258.0,,74.0,4.0,206.0,88.0,-9.3,40.0,1720.0,1195.6,16.6,22.5,10.6,SEBASTIAN,AR,,,,,SEBASTIAN,"Sebastian County, Arkansas",126536,51.0,49.0,36.9,6.4,82.2,31.4,0.0,4.0,4.0,87.4,40471,5,131,Cfa
2013,AR,WASHINGTON COUNTY                                 ,05143,26.6,,,,,,,USW00093993,"FAYETTEVILLE DRAKE FIELD, AR US",36.01027,-94.16824,377.1,748.9,,115.0,6.0,178.0,43.0,-13.2,37.2,2350.3,1183.9,13.4,19.9,6.9,WASHINGTON,AR,,,,,WASHINGTON,"Washington County, Arkansas",207911,50.0,50.0,31.2,11.1,82.6,28.4,0.4,1.9,1.8,84.3,41248,5,143,Cfa
2013,AZ,MARICOPA COUNTY                                   ,04013,26.62166666666667,,,,,,,USW00023183,"PHOENIX AIRPORT, AZ US",33.4278,-112.00365,339.2,2754.9,,4.0,0.0,306.0,175.0,-1.7,48.3,502.8,214.1,24.4,30.9,17.9,MARICOPA,AZ,,,,,MARICOPA,"Maricopa County, Arizona",3889161,50.5,49.5,35.0,10.6,86.4,23.3,0.1,1.9,1.8,70.3,53596,4,13,BWh
2013,AZ,PIMA COUNTY                                       ,04019,27.57421875,,,,,,,USW00023160,"TUCSON INTERNATIONAL AIRPORT, AZ US",32.13153,-110.95638,777.6,1997.2,,20.0,0.0,294.0,160.0,-8.3,44.4,773.3,217.1,21.6,29.1,14.0,PIMA,AZ,,,,,PIMA,"Pima County, Arizona",986891,50.8,49.2,37.8,12.2,87.2,22.7,0.1,1.8,1.7,65.0,45841,4,19,BWh
2013,AZ,YAVAPAI COUNTY                                    ,04025,0.0,,,,,,,USW00023184,"PRESCOTT LOVE FIELD, AZ US",34.64915,-112.42234,1527.8,609.0,,116.0,1.0,202.0,48.0,-14.3,40.0,2203.3,329.6,13.5,21.5,5.5,YAVAPAI,AZ,,,,,YAVAPAI,"Yavapai County, Arizona",211968,51.1,48.9,50.1,8.7,90.2,26.0,0.0,1.4,1.4,86.3,42987,4,25,BSk
2013,AZ,YUMA COUNTY                                       ,04027,31.000000000000004,,,,,,,USW00003125,"YUMA PROVING GROUND, AZ US",32.8356,-114.3942,98.8,2609.7,,2.0,0.0,311.0,192.0,-2.2,48.3,482.9,97.0,24.0,31.6,16.4,YUMA,AZ,,,,,YUMA,"Yuma County, Arizona",199026,49.3,50.7,33.4,4.6,71.9,25.3,0.0,1.1,1.1,39.9,41595,4,27,BWh
2013,CA,ALAMEDA COUNTY                                    ,06001,25.66363636363636,,,,,,,USW00023285,"LIVERMORE MUNICIPAL AIRPORT, CA US",37.69309,-121.8149,119.7,556.9,,32.0,0.0,234.0,43.0,-4.3,41.7,1360.4,117.6,16.1,23.7,8.5,ALAMEDA,CA,,,,,ALAMEDA,"Alameda County, California",1535248,51.0,49.0,36.8,17.2,86.4,19.1,0.3,4.0,3.7,77.5,72112,6,1,Csb
