STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USC00388440,"SUMTER, SC US",33.935,-80.34787,53,2012,,1513,1513,144,80,9,,,0,50,0,233,27,,,,17,,,2.12,103,32,25,24,,,28,28,18,18,,2565,2565,41.1,,61.8,73,50.6,,,,
USC00388440,"SUMTER, SC US",33.935,-80.34787,53,2013,,1299,1299,130,84,17,,,0,80,0,204,7,,,,19,,,2.5,93,29,28,22,20,,28,28,22,20,,3244,3244,56.48,,59.5,70.4,48.6,,,,
USC00388440,"SUMTER, SC US",33.935,-80.34787,53,2015,,,,141,88,13,0,0,0,64,,,,,,,9,0,0,10.67,,31,25,,,,25,25,24,9,9,3500,3500,65.88,0,,,50,,,,
USC00388440,"SUMTER, SC US",33.935,-80.34787,53,2016,,,,124,83,18,0,0,,,,,,,,,,0,0,5.38,,,,,,,,,,,,,,61.84,0,,,,,,,
USC00388440,"SUMTER, SC US",33.935,-80.34787,53,2017,,1941,1941,117,75,15,0,0,0,44,0,272,53,,,,19,0,0.2,2.36,98,29,26,,,,22,22,22,19,,,,48.97,0.2,64.3,76.8,51.8,,,,
USC00388440,"SUMTER, SC US",33.935,-80.34787,53,2019,,,,120,86,16,0,0,,,,,,,,,,0,0,2.1,,,,,,,,,,,,2697,2697,52.46,0,,,,,,,
USC00388440,"SUMTER, SC US",33.935,-80.34787,53,2020,,1826,1826,140,93,17,0,0,0,49,0,247,49,,,,19,0,0,7.18,96,31,26,20,20,,29,25,24,,,,,64.92,0,63.3,74.2,52.4,,,,
USC00388440,"SUMTER, SC US",33.935,-80.34787,53,2021,,1792,1792,107,72,8,0,0,0,45,0,252,47,,,,21,0,0,3.33,94,27,27,,,,29,28,21,,,2786,2786,42.34,0,62.7,74,51.4,,,,
USC00388440,"SUMTER, SC US",33.935,-80.34787,53,2022,,2128,2128,117,71,8,1,1,0,50,1,241,67,,,,14,1,1.1,4.2,100,32,28,14,14,14,32,25,24,20,,2220,2220,43.27,1.5,64.3,75.3,53.3,,,,
USW00073805,"NORTHWEST FLORIDA BEACHES INTERNATIONAL AIRPORT, FL US",30.34869,-85.78835,17.1,2012,5.8,2571,2571,96,73,16,0,,0,12,0,300,57,227,59,48,22,0,,4.7,97,29,,,,,29,26,22,,,1085,1085,50.61,,68.9,79.1,58.7,180,210,63.1,133.1
USW00073805,"NORTHWEST FLORIDA BEACHES INTERNATIONAL AIRPORT, FL US",30.34869,-85.78835,17.1,2013,6,2537,2537,94,64,14,0,,0,9,0,287,59,200,35,58,27,0,,6.28,95,32,,,,,32,27,,,,1405,1405,56.23,,68.3,78.2,58.3,,,,
