STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1970,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1971,708,708,86,53,6,,,6,151,46,148,18,,,-7,,,1.6,103,32,15,15,15,15,31,25,18,18,16,,,25.03,,48.2,59,37.4
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1972,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,7015,7015,,,,,
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1973,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1974,441,441,113,69,4,,11,9,156,41,119,6,,1,-7,,4.5,1.9,92,29,27,24,19,13,32,27,22,19,2,,,28.65,27.4,47,56.8,37.2
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1975,653,653,117,67,8,,,2,148,54,136,9,,,-4,,,3.8,97,32,25,24,17,15,31,26,23,18,16,6876,6876,34.68,,48.5,58.1,38.8
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1976,628,628,109,62,6,,,14,152,67,141,19,,1,-16,,,2.3,95,32,25,19,19,16,31,24,24,14,14,6232,6232,28.49,,46.6,57.6,35.6
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1977,673,673,122,63,2,,,13,132,68,146,23,,1,-9,,,1.91,97,32,28,23,19,14,32,26,21,16,16,6795,6795,25.72,,48,58.5,37.5
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1978,667,667,119,51,3,,,8,159,81,139,16,,,-9,,,1.3,95,28,28,21,20,11,32,25,24,19,14,7221,7221,23.35,,46.5,57.2,35.8
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1979,,,111,57,4,,,,,59,138,4,,1,,,,1.5,91,,,,,,,,,,,7334,7334,23.34,,,56.9,
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1980,572,572,110,74,5,,,9,161,59,130,7,,1,-10,,,1.57,92,31,26,23,20,16,31,18,18,18,13,,,29.45,,46.1,56.6,35.7
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1981,543,543,96,57,9,,,10,150,48,128,7,,,-15,,,1.71,92,30,22,22,19,10,31,23,23,17,13,7037,7037,29.95,,47.7,57.9,37.5
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1982,,,113,62,2,,,12,143,,,,,1,-15,,,1.49,,32,27,20,20,8,29,25,15,15,15,7203,7203,26.62,,,,37.4
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1983,808,808,110,70,5,,,8,142,51,119,26,,,-6,,,1.64,97,31,26,24,18,16,28,28,20,20,15,,,32.63,,48.1,57.6,38.7
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1984,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,7193,7193,,,,,
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1985,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1986,535,535,120,71,7,69,9,5,150,51,143,8,6,,-13,9,4,8.05,95,32,27,21,11,11,27,27,23,19,9,,,39.45,23.4,48.1,57.7,38.6
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1987,889,889,143,60,4,,6,3,138,27,146,28,1,,-6,,7.4,2.15,99,30,28,20,20,10,28,28,24,20,14,6264,6264,27.13,21.2,50.4,60.4,40.4
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1988,902,902,,,,,,7,144,51,137,41,2,5,-6,,,,100,30,28,22,19,12,31,27,23,2,2,6660,6660,,,48.3,59,37.7
USC00205434,"MIDLAND, MI US",43.6088,-84.2011,195.1,1989,617,617,130,53,4,,,11,154,60,140,11,4,,-6,,,2.83,93,30,28,22,14,14,32,27,22,17,5,6757,6757,24.48,,46.6,56.5,36.6
