GHCND,STATION_NAME,ST,COUNTY,LAT_DEC,LON_DEC
USW00024285,NEWPORT MUNICIPAL AP,OR,LINCOLN,44.58333,-124.05
USW00025322,GUSTAVUS AP,AK,SKAGWAY-HOONAH-ANGOON,58.41667,-135.7
USW00025325,KETCHIKAN INTL AP,AK,KETCHIKAN GATEWAY BOROUGH,55.35,-131.7
USC00506093,MOUNT MCKINLEY NATIONAL PARK AP,AK,DENALI BOROUGH,63.65,-148.8
USW00025335,SKAGWAY AP,AK,SKAGWAY-HOONAH-ANGOON,59.46667,-135.3
USC00509919,WRANGELL AP,AK,WRANGELL-PETERSBURG,56.48333,-132.36667
USW00053864,ALABASTER 5 SSE,AL,SHELBY,33.16667,-86.76667
USW00013896,MUSCLE SHOALS FAA AP,AL,COLBERT,34.75,-87.61667
USW00093806,TUSCALOOSA MUNICIPAL AP,AL,TUSCALOOSA,33.23333,-87.61667
USC00030936,BRINKLEY,AR,MONROE,34.88333,-91.18333
USW00023104,CHANDLER WILLIAMS AFB,AZ,MARICOPA,33.3,-111.66667
USW00003195,GRAND CANYON NATIONAL PARK AP,AZ,COCONINO,35.95,-112.15
USC00024639,KINGMAN AAF,AZ,MOHAVE,35.26667,-113.93333
USW00093167,KINGMAN MOHAVE COUNTY AP,AZ,MOHAVE,35.26667,-113.95
USW00093027,ST JOHNS,AZ,APACHE,34.51667,-109.36667
USW00023191,SANTA CATALINA WB AP,CA,LOS ANGELES,33.4,-118.41667
USW00023161,DAGGETT SAN BERNARDINO COUNTY AP,CA,SAN BERNARDINO,34.86667,-116.78333
USW00093193,FRESNO WB AP,CA,FRESNO,36.78333,-119.7
USW00023179,NEEDLES/AP,CA,SAN BERNARDINO,34.766667,-114.61666
USW00024216,RED BLUFF AP,CA,TEHAMA,40.15,-122.25
USC00047296,REDDING,CA,SHASTA,40.58333,-122.4
USW00024257,REDDING MUNICIPAL AP,CA,SHASTA,40.51667,-122.3
USC00043410,GILLESPIE FIELD,CA,SAN DIEGO,32.81667,-116.96667
USW00003131,SAN DIEGO MONTGOMERY FIELD,CA,SAN DIEGO,32.81667,-117.15
USW00023188,SAN DIEGO LINDBERGH MUNICIPAL AP,CA,SAN DIEGO,32.73333,-117.16667
USW00093107,SAN DIEGO MIRAMAR MCAS,CA,SAN DIEGO,32.86667,-117.11667
USW00093112,SAN DIEGO NAS,CA,SAN DIEGO,32.71667,-117.2
USW00023196,CHULA VISTA BROWN FIELD NAAS,CA,SAN DIEGO,32.56667,-116.96667
USW00003178,SAN DIEGO BROWN FIELD,CA,SAN DIEGO,32.56667,-116.98333
USW00023234,SAN FRANCISCO AP,CA,SAN MATEO,37.61667,-122.38333
USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD,CA,SAN LUIS OBISPO,35.25,-120.66667
USC00048702,SUSANVILLE AP,CA,LASSEN,40.38333,-120.56667
USW00093005,DURANGO LA PLATA COUNTY AP,CO,LA PLATA,37.15,-107.75
USW00094035,FORT COLLINS LOVELAND AP,CO,LARIMER,40.45,-105.01667
USW00023066,GRAND JUNCTION MUNICIPAL AP,CO,MESA,39.11667,-108.53333
USW00003013,LAMAR MUNICIPAL AP,CO,PROWERS,38.06667,-102.68333
USW00093013,MONTROSE COUNTY AP,CO,MONTROSE,38.5,-107.9
USW00003016,RIFLE GARFIELD COUNTY AP,CO,GARFIELD,39.53333,-107.73333
USW00093010,LIMON,CO,LINCOLN,39.266667,-103.68333
USW00014707,GROTON AAF,CT,NEW LONDON,41.33333,-72.05
USW00014758,NEW HAVEN TWEED AP,CT,NEW HAVEN,41.26667,-72.88333
USW00054767,WILLIMANTIC,CT,WINDHAM,41.76667,-72.18333
USW00013781,NEW CASTLE BELLANCA FIELD,DE,NEW CASTLE,39.66667,-75.6
USC00080211,APALACHICOLA WSO AP,FL,FRANKLIN,29.73333,-85.03333
