NAME,total_population,pct_female,pct_male,median_age,pct_bachelors_plus,pct_graduate_degree,pct_less_than_hs,pct_white,pct_black,pct_asian,pct_hispanic,median_household_income,state,county,year,CountyFIPS
"Escambia County, Florida",300795,50.5,49.5,37.4,8.3,87.9,28.5,0.1,3.6,3.5,95.1,43918,12,033,2013,12033
"Hernando County, Florida",173119,52.1,47.9,48.0,4.9,86.5,38.4,0.2,1.5,1.4,89.4,41024,12,053,2013,12053
"Hillsborough County, Florida",1257913,51.2,48.8,36.3,10.4,86.8,28.0,0.3,2.0,1.8,74.7,49596,12,057,2013,12057
"Okaloosa County, Florida",185852,49.7,50.3,37.4,11.0,90.9,27.2,0.2,3.6,3.5,92.6,54684,12,091,2013,12091
"Taylor County, Florida",22660,43.6,56.4,41.4,4.7,76.5,37.1,0.0,1.5,1.5,96.3,36356,12,123,2013,12123
"Wakulla County, Florida",30824,45.2,54.8,39.6,6.3,87.7,37.9,0.0,1.5,1.5,96.6,52691,12,129,2013,12129
"Lumpkin County, Georgia",30428,50.9,49.1,36.1,8.5,85.0,30.7,0.0,0.9,0.9,95.5,43775,13,187,2013,13187
"McDuffie County, Georgia",21697,52.5,47.5,38.4,5.3,74.6,36.7,0.0,0.8,0.8,97.6,37487,13,189,2013,13189
"Miller County, Georgia",6054,51.7,48.3,42.3,4.3,79.9,39.1,0.0,0.5,0.5,99.4,32260,13,201,2013,13201
"Morgan County, Georgia",17870,51.4,48.6,41.2,8.4,81.7,35.2,0.1,0.9,0.7,97.2,47729,13,211,2013,13211
"Heard County, Georgia",11708,50.3,49.7,39.9,2.6,72.7,38.9,0.0,2.7,2.7,97.9,39909,13,149,2013,13149
"Oconee County, Georgia",33240,50.7,49.3,39.1,21.1,91.3,19.8,0.2,0.9,0.9,95.5,75004,13,219,2013,13219
"Dougherty County, Georgia",94220,53.5,46.5,33.6,7.5,79.9,28.6,0.2,1.2,1.1,97.6,31671,13,095,2013,13095
"Fannin County, Georgia",23614,51.0,49.0,48.9,5.6,79.0,40.9,0.1,1.2,1.1,98.1,34239,13,111,2013,13111
"Henry County, Georgia",206349,52.0,48.0,35.6,8.2,89.5,30.9,0.2,2.4,2.3,94.0,60781,13,151,2013,13151
